Ref,Val,Package,PosX,PosY,Rot,Side
"R143","10k","R_0402_1005Metric",223.050000,-88.199999,180.000000,bottom
"R144","10k","R_0402_1005Metric",211.950000,-130.199999,180.000000,bottom
"R145","10k","R_0402_1005Metric",182.350000,-287.000000,180.000000,bottom
"R146","10k","R_0402_1005Metric",160.150000,-172.200000,180.000000,bottom
"R147","10k","R_0402_1005Metric",152.750000,-93.800000,180.000000,bottom
"R148","10k","R_0402_1005Metric",126.850000,-65.800000,180.000000,bottom
"R149","10k","R_0402_1005Metric",41.750000,-71.400000,180.000000,bottom
"R150","10k","R_0402_1005Metric",186.050000,-65.800000,180.000000,bottom
"R151","10k","R_0402_1005Metric",145.350000,-270.200000,180.000000,bottom
"R152","10k","R_0402_1005Metric",178.650000,-85.399999,180.000000,bottom
"R153","10k","R_0402_1005Metric",63.950000,-99.399999,180.000000,bottom
"R154","10k","R_0402_1005Metric",145.350000,-244.999999,180.000000,bottom
"R155","10k","R_0402_1005Metric",15.850000,-74.199999,180.000000,bottom
"R156","10k","R_0402_1005Metric",78.750000,-116.199999,180.000000,bottom
"R157","10k","R_0402_1005Metric",115.750000,-261.799999,180.000000,bottom
"R158","10k","R_0402_1005Metric",237.850000,-144.200000,180.000000,bottom
"R159","10k","R_0402_1005Metric",67.650000,-68.600000,180.000000,bottom
"R160","10k","R_0402_1005Metric",152.750000,-121.800000,180.000000,bottom
"R161","10k","R_0402_1005Metric",160.150000,-77.000000,180.000000,bottom
"R162","10k","R_0402_1005Metric",112.050000,-222.600000,180.000000,bottom
"R163","10k","R_0402_1005Metric",167.550000,-130.199999,180.000000,bottom
"R164","10k","R_0402_1005Metric",178.650000,-259.000000,180.000000,bottom
"R165","10k","R_0402_1005Metric",211.950000,-141.399999,180.000000,bottom
"R166","10k","R_0402_1005Metric",75.050000,-247.799999,180.000000,bottom
"R167","10k","R_0402_1005Metric",241.550000,-63.000000,180.000000,bottom
"R168","10k","R_0402_1005Metric",78.750000,-172.200000,180.000000,bottom
"R169","10k","R_0402_1005Metric",38.050000,-29.400000,180.000000,bottom
"R170","10k","R_0402_1005Metric",160.150000,-68.600000,180.000000,bottom
"R171","10k","R_0402_1005Metric",63.950000,-68.600000,180.000000,bottom
"R172","10k","R_0402_1005Metric",97.250000,-287.000000,180.000000,bottom
"R173","10k","R_0402_1005Metric",223.050000,-203.000000,180.000000,bottom
"R174","10k","R_0402_1005Metric",189.750000,-169.399999,180.000000,bottom
"R175","10k","R_0402_1005Metric",174.950000,-217.000000,180.000000,bottom
"R176","10k","R_0402_1005Metric",112.050000,-200.200000,180.000000,bottom
"R177","10k","R_0402_1005Metric",41.750000,-29.400000,180.000000,bottom
"R178","10k","R_0402_1005Metric",241.550000,-147.000000,180.000000,bottom
"R179","10k","R_0402_1005Metric",104.650000,-93.800000,180.000000,bottom
"R180","10k","R_0402_1005Metric",226.750000,-68.600000,180.000000,bottom
"R181","10k","R_0402_1005Metric",260.050000,-93.800000,180.000000,bottom
"R182","10k","R_0402_1005Metric",141.650000,-68.600000,180.000000,bottom
"R183","10k","R_0402_1005Metric",137.950000,-233.799999,180.000000,bottom
